pdpass	pdpco1	source	begyr1	gvkey1	endyr1	pdpco2	begyr2	gvkey2	endyr2	pdpco3	begyr3	gvkey3	endyr3	pdpco4	begyr4	gvkey4	endyr4	pdpco5	begyr5	gvkey5	endyr5
-19702	66448	"m2006"	1997	66448	2005																
-19541	121844	"m2006"	1997	121844	2006																
-19540	121844	"m2006"	1997	121844	2006																
-19291	62613	"m2006"	1995	62613	2006																
-19289	176118	"m2006"	2004	176118	2006																
-18938	11351	"m2006"	1962	11351	2006																
-18799	13470	"m2006"	1986	13470	2004																
-18511	11212	"m2006"	1974	11212	1992																
-18385	29284	"m2006"	1992	29284	2005																
-18223	163121	"m2006"	2004	163121	2006																
-18172	10971	"m2006"	1950	10971	1986																
-18143	11027	"m2006"	1972	11027	2005																
-17448	13945	"m2006"	1986	13945	1990																
-17088	4156	"m2006"	1980	4156	2006																
-16706	15521	"m2006"	1988	15521	2006																
-16700	25923	"m2006"	1985	25923	2006																
-16688	10000	"m2006"	1960	10000	2006																
-16348	26005	"m2006"	1991	26005	1993	8852	1994	8852	1996	3708	1997	3708	2005								
-16179	174876	"m2006"	2006	174876	2006																
-16161	30964	"m2006"	1993	30964	2005																
-15631	111491	"m2006"	1996	111491	2006																
-14668	15854	"m2006"	1988	15854	2003																
-13980	13218	"m2006"	1986	13218	1995	9921	1996	9921	2005												
-13956	8674	"m2006"	1968	8674	1987																
-13921	164624	"m2006"	2004	164624	2006																
-13540	128219	"m2006"	1999	128219	1999																
-13515	3979	"m2006"	1984	3979	1996																
-13484	22681	"m2006"	1989	22681	1999																
-13381	13163	"m2006"	1985	13163	2005																
-12839	28442	"m2006"	1992	28442	1997																
-12485	28262	"m2006"	1992	28262	2005																
-12040	152809	"m2006"	2001	152809	2006																
-11534	7161	"m2006"	1983	7161	2006																
-10342	6666	"m2006"	1976	6666	1980																
-9695	23667	"m2006"	1988	23667	2006																
-8619	27980	"m2006"	1992	27980	2006																
-8388	9590	"m2006"	1960	9590	2006																
-8259	28262	"m2006"	1992	28262	2005																
-6889	5374	"m2006"	1982	5374	2000	10247	2001	10247	2005												
-6880	61658	"m2006"	1994	61658	2003																
-6861	12660	"m2006"	1985	12660	1987																
-5767	4865	"m2006"	1974	4865	1982	6573	1983	6573	2005												
-5054	4345	"m2006"	1981	4345	1982																
-4772	21552	"m2006"	1989	21552	1992																
-4569	4054	"m2006"	1974	4054	1998	10247	1999	10247	2005												
-4428	177376	"m2006"	2005	177376	2006																
-4421	16545	"m2006"	1988	16545	1998																
-4349	125534	"m2006"	1999	125534	1999	27980	2003	27980	2005												
-4033	24966	"m2006"	1995	24966	2001																
-2376	161055	"m2006"	2002	161055	2006																
-2285	28936	"m2006"	1992	28936	2003																
-887	1812	"m2006"	1960	1812	1972																
-758	12609	"m2006"	1985	12609	1985																
-724	66391	"m2006"	1996	66391	1997	17452	1998	17452	2005												
-561	25932	"m2006"	1991	25932	1996																
-435	100011	"m2006"	2001	100011	2004																
-434	100011	"m2006"	2001	100011	2004																
-242	29424	"m2006"	1992	29424	1998																
10030414	8326	"MTCH1"	1973	8326	2006																
10030467	8006	"PASS1"	1974	8006	1986																
10030734	1847	"NBER"	1979	1847	1986																
10030761	100587	"MTCH1"	2000	100587	2005																
10030808	9268	"NBER"	1960	9268	1975																
10030845	15508	"MTCH1"	1989	15508	2006																
10030933	9140	"NBER"	1950	9140	1984																
10031263	3041	"NBER"	1950	3041	2006																
10031264	19364	"NBER"	1990	19364	1999	24625	2000	24625	2005												
10031414	8677	"NBER"	1969	8677	1978																
10031478	4961	"NBER"	1950	4961	1999																
10031601	1040	"NBER"	1950	1040	1984																
10031615	9492	"PASS1"	1983	9492	1988	12583	1989	12583	1997	6008	1998	6008	2005								
10031679	3864	"MTCH1"	1970	3864	1978																
10031689	4088	"NBER"	1971	4088	1986																
10031721	11060	"NBER"	1960	11060	2006																
10031768	4941	"NBER"	1950	4941	2006																
10031878	31881	"MTCH1"	1994	31881	2006																
10032010	7003	"NBER"	1961	7003	1990																
10032111	4510	"NBER"	1950	4510	2006																
10032118	2892	"NBER"	1950	2892	1974																
10032126	7078	"NBER"	1973	7078	1986	3558	1987	3558	1997												
10032152	8015	"NBER"	1960	10943	1978	8015	1979	8015	1997												
10032276	10049	"PASS1"	1960	10049	1969																
10032404	103159	"MTCH1"	1994	103159	2003																
10032427	9775	"PHRM"	1950	9775	1988	14261	1989	14261	2006												
10032442	6840	"NBER"	1962	6840	1985																
10032645	100080	"PASS1"	1993	100080	2006																
10032704	30349	"m2006"	1993	30349	1997	10420	1998	10420	2005												
10032754	5957	"NBER"	1960	5957	1985																
10032761	4961	"NBER"	1950	4961	1999																
10032783	4961	"NBER"	1950	4961	1999																
10032854	5894	"UPDT2"	1968	5894	2006																
