name	cusip	firstyr	gvkey	lastyr	pdpco	pdpseq	begyr	endyr	match
"A & E PLASTIK PAK INC"	"000032"	1961	1000	1977	1000	1	1961	1977	1
"A & M FOOD SERVICES INC"	"000165"	1983	1001	1985	1001	1	1983	1985	
"AAI CORP"	"000352"	1960	1002	1972	1002	1	1960	1972	
"A.A. IMPORTING CO INC"	"000354"	1982	1003	1989	1003	1	1982	1989	
"AAR CORP"	"000361"	1965	1004	2005	1004	1	1965	2005	1
"A.B.A. INDUSTRIES INC"	"000370"	1974	1005	1981	1005	1	1974	1981	
"ABC INDS INC"	"000736"	1974	1006	1982	1006	1	1974	1982	
"ABKCO INDUSTRIES INC"	"000774"	1974	1007	1984	1007	1	1974	1984	0
"ABM COMPUTER SYSTEMS INC"	"000775"	1983	1008	1985	1008	1	1983	1985	
"ABS INDUSTRIES INC"	"000781"	1981	1009	1994	1009	1	1981	1994	
"ACF INDUSTRIES HOLDING CORP"	"00099Y"	1950	1010	2003	1010	1	1950	2003	1
"ACS ENTERPRISES INC"	"000872"	1982	1011	1994	1011	1	1982	1994	
"ACS INDUSTRIES INC"	"000874"	1974	1012	1989	1012	1	1974	1989	1
"ADC TELECOMMUNICATIONS INC"	"000886"	1974	1013	2006	1013	1	1974	2006	1
"ADDSCO INDUSTRIES INC"	"000887"	1974	1014	1992	1014	1	1974	1992	0
"ADI ELECTRONICS INC"	"000893"	1982	1015	1987	1015	1	1982	1987	
"AEC INC"	"001015"	1974	1016	1987	1016	1	1974	1987	1
"AEL INDUSTRIES  -CL A"	"001030"	1960	1017	1994	1017	1	1960	1994	1
"AES TECHNOLOGY SYSTEMS INC"	"001032"	1974	1018	1987	1018	1	1974	1987	1
"AFA PROTECTIVE SYSTEMS INC"	"001038"	1970	1019	2001	1019	1	1970	2001	
"AFG INDUSTRIES INC"	"001054"	1962	1020	1989	1020	1	1962	1989	1
"AFP IMAGING CORP"	"001058"	1980	1021	2006	1021	1	1980	2006	1
"AGM INDUSTRIES INC"	"001220"	1974	1022	1982	1022	1	1974	1982	1
"AGS COMPUTERS INC"	"001240"	1981	1023	1987	1023	1	1981	1987	
"A I A INDUSTRIES INC"	"001320"	1983	1024	1983	1024	1	1983	1983	
"A I C INTL INC"	"001348"	1973	1025	1995	1025	1	1973	1995	
"AID INC-DEL CL A"	"001360"	1966	1026	1976	1026	1	1966	1976	
"A I M COS"	"001412"	1960	1027	1969	1027	1	1960	1969	
"AIM TELEPHONES INC"	"001423"	1981	1028	1990	1028	1	1981	1990	
